source_id,stage,claim_supported,source_title,author_or_publication,source_type,primary_or_secondary,event_date,publication_date,access_date,url,archived_url,tier,evidence_class,confidence,independence_note,relevant_passage,notes
A2S-01,1,No Apple-placed advertisement and no Apple price in BYTE during 1976; HP-65 pricing,BYTE January-June 1976,"Carl Helmers (ed.), BYTE Publications Inc","trade magazine, full-issue OCR",primary,1976-01/06,1976,2026-09-24,https://archive.org/details/byte-magazine-1976-01 .. -06,sources/ia_byte_1976/byte-1976-01.txt .. -06.txt,1,FACT (documented absence),High,"same corpus as A2S-02; the apple tokens in these issues are 'Big Apple', 'Apple Valley', 'apple pie', 'bad apples'",NO_VERBATIM_PASSAGE_RECORDED,Establishes the empty first half of 1976 (A2-01..A2-04) and the $795/$695 HP-65 price (A2-71)
A2S-02,1,Byte Shop established as a display channel in vendor ads from April 1976; Terrell's franchise claim,BYTE April-July 1976 vendor advertisements and 'BYTE UNDER GLASS',"Carl Helmers, BYTE; advertisers",trade magazine,primary,1976-04/07,1976-04/07,2026-09-24,https://archive.org/details/byte-magazine-1976-07,sources/ia_byte_1976/byte-1976-04.txt .. -07.txt,1,CONTEMPORARY OBSERVATION,High,"four issues, one campaign for the 'on display at' line; the Terrell sentence is editorial","'Paul Terrell, founder of the BYTE Shop, the world's first computer store franchise, puts lock and key to the family jewels.'",Primacy claim contested - U-A2-5
A2S-03,1,Jobs named in 1976 print; Faire exhibitor list; Business Week pointer,"BYTE September-December 1976 (editorial, distributor list, trade-show column)","Carl Helmers and advertisers, BYTE",trade magazine,primary,1976-09/12,1976,2026-09-24,https://archive.org/details/byte-magazine-1976-09 .. -12,sources/ia_byte_1976/byte-1976-09.txt .. -12.txt,1,CONTEMPORARY OBSERVATION,High,editorial and advertising matter in one magazine: counted as one origin for BYTE's editorial line,'Steven Jobs (Apple Computer Co) and Paul Terrell (Byte Shops) on the floor of the WESCON show last September in Los Angeles CA.',Also carries the Business Week 1976-07-12 Byte Shop pointer and the 1976-12 Faire exhibitor list
A2S-04,1,Earliest Apple-1 retail advertisement (September 1976); Apple-1 mail order November 1976; competitor price sheets,BYTE September-November 1976 advertisements,Computer Mart of New York Inc; Kentucky Fried Computers; BYTE,advertising artifacts in a trade magazine,primary,1976-09/11,1976-09/11,2026-09-24,https://archive.org/details/byte-magazine-1976-09 and -11,sources/ia_byte_1976/byte-1976-09.txt; byte-1976-11.txt,1,FACT,High,"two independent advertisers; the October/December re-runs are one campaign, not corroboration",'Take a byte out of the new Apple-1 computer.' / '*Apple-Apple-1 computer',Corrects AP-14's date and store-name attribution (C-1)
A2S-05,1,Apple-II pre-announcement and the 1976-11-20 sighting; the national store directory,BYTE April 1977 ('A Nybble on the Apple'; computer-store directory),Carl Helmers; directory compiler; advertisers,trade magazine,primary,1976-11-20; 1977-04,1977-04,2026-09-24,https://archive.org/details/byte-magazine-1977-04,sources/ia_byte_1977/byte-1977-04.txt,1,CONTEMPORARY OBSERVATION,High,Helmers is a participant-witness; the directory is compiled matter independent of him,'I first saw the Apple-ll on November 20 1976 when Stephen Wozniak and Stephen Jobs stopped by a motel room in Palo Alto',"Directory lists about 35 Byte Shop outlets with named managers, the parent at Sunnyvale, plus Byte Shop of Tokyo"
A2S-06,1,"Apple-I design date, price band and distribution; four non-founder contributors; the 1977 address of record","'The Apple-II - System Description', BYTE May 1977, p 3","Stephen Wozniak, Apple Computer Co, Cupertino",trade magazine article by the company's designer,primary,1975; 1977-05,1977-05,2026-09-24,https://archive.org/details/byte-magazine-1977-05,sources/ia_byte_1977/byte-1977-05.txt,1,FOUNDER CLAIM (contemporaneous),High,company-side: NOT independent of A2S-07 (same publisher-interest),"'The Apple-I, my first video oriented single board computer, was designed late in 1975 and sold by word of mouth throughout California and later nationwide through retail computer stores.'","Also 'a price under $700 at the retail level'; acknowledgements to Baum, Kraul, Wigginton, Espinosa"
A2S-07,1,"Apple II configuration, the complete nine-row price ladder, tax add-ons, aftermarket memory, direct mail order, dealer referral","Apple Computer Inc advertisement, BYTE June 1977",Apple Computer Inc,advertising artifact,primary,1977-06,1977-06,2026-09-24,https://archive.org/details/byte-magazine-1977-06,sources/ia_byte_1977/byte-1977-06.txt,1,FACT (company's published offer),High,"same commercial interest as A2S-06: two documents, one interest","'Apple II Price List ... 4K $1,298.00 $84.37 $598.00 $38.87 ... 48K $2,638.00 $171.47 $1,938.00 $125.97'",Superlatives inside the ad ('the first personal computer with') are FOUNDER CLAIM in substance
A2S-08,1,Apple's July 1977 re-run and its pages; the Faire's announced attendance; Radio Shack franchise interest,BYTE July 1977 (advertisement; Faire report; advertiser index),Lawrence F Willard; Apple Computer Inc; BYTE,trade magazine,primary,1977-04; 1977-07,1977-07,2026-09-24,https://archive.org/details/byte-magazine-1977-07,sources/ia_byte_1977/byte-1977-07.txt,1,CONTEMPORARY OBSERVATION,Medium,"the 12,800 figure is the promoter's self-report transmitted by a correspondent: one interest","'At the end of the show, chaircreature Jim Warren announced that 12,800 people had attended.'","Index line '7 Apple 22, 23, 24' fixes the advertisement's pages"
A2S-09,1,"The IPO terms, the FY1978-FY1980 revenue and profit series, the pre-IPO cap table","'Apple Stock Goes On Sale', BYTE February 1981, p 212",BYTE column (unsigned),trade magazine,primary,1978-1981,1981-02,2026-09-24,https://archive.org/details/byte-magazine-1981-02,sources/ia_byte_1981/byte-1981-02.txt,1,FACT (as printed); RETROSPECTIVE SOURCE for 1976-77,High,single column; the 2008-2023 LOC page is derivative of later retelling and adds nothing (C-10),'Apple offered 8% of the company's 52.4 million shares (ie: 4.6 million shares) at a price of $22 per share.',Internal arithmetic inconsistent - U-A2-9; mixed precision - U-A2-8
A2S-10,1,Homebrew's quantified 1976 market survey; Kentucky Fried Computers pre-store; used-equipment discount; the 6502 comparator price,Homebrew Computer Club Newsletter Vol 2 No 6 ('Random Data'; 'BULLETIN BOARD'),"Robert Reiling (ed.), Mountain View CA","club newsletter, full item OCR",primary,1976-06-09,1976-06-09,2026-09-24,https://archive.org/details/hcc0206,sources/ia_homebrew/hcc0206.txt,1,CONTEMPORARY OBSERVATION (self-surveyed),Medium-High,"grassroots document, independent of BYTE and of Apple","'8080-53, 6502-18, 8008-6, PDP-8-4, LSI-11-3, Z80-2, 4004-1, PDP1 1/20-1 and TTL-1. That totals 101 systems'","Also 'California residents must add 6% sales tax' (conflicts with Apple's implied 6.5%, U-A2-6) and the ETC-1000 at $675"
