company,stage,conflict_id,section,claim_a,claim_a_source,claim_a_date,claim_b,claim_b_source,claim_b_date,why_they_differ,evidence_weight,best_supported_interpretation,residual_uncertainty,confidence
Apple,stage1,U-A2-1,B / J,Company styled 'Apple Computer Co',BYTE December 1976 editorial (A2S-03),1976-12,Company styled 'Apple Computers',Homebrew Vol 2 No 9 (A2S-10) and BYTE December 1976 exhibitor list (A2S-03),1976-09-15 / 1976-12,Publication lag and hearsay naming versus registered styling; two further forms follow ('Apple Computer Inc.' in the company's own 1977 ad; 'the Apple Corporation' in a 1980 third-party ad),in-window print on both sides; the company's own 1977 letterhead outranks third-party lists for the corporation,All four name forms are authentic; no 1976-77 document names the partnership,Whether the registered partnership style appears in any 1976 print,High on print facts / Medium on inference
Apple,stage1,U-A2-2,D / F,"Byte Shop placed a founding order of 50 boards at $500, July 1976",memoir lineage carried by AP-29/AP-30; no periodical,1976 (claimed),Distribution was 'by word of mouth throughout California and later nationwide through retail computer stores',"Wozniak, BYTE May 1977 (A2S-06)",1977-05,A single memorable transaction versus a diffuse dealer ramp; the number attached in later telling,in-window first-party and third-party print versus retrospective memoir,A multi-dealer ramp including the Byte Shop circuit; no first order documented in periodicals,"An outside document (invoice, Terrell's papers, the 1976 agreement) could still establish a transaction",High that the corpus has no order / Low on the canonical story
Apple,stage1,U-A2-3,Q,"Faire billed April 15-17, 1977, San Francisco Civic Auditorium","Homebrew Vol 2 No 11 and the Faire flyer (A2S-11, A2S-12)",1976-12-10 / 1977-02-16,Faire held 'April 16 and 17 of this year',"Lawrence F Willard, BYTE July 1977 (A2S-08)",1977-07,Scheduled dates versus a correspondent's days on the floor,promoter's billing stronger for the schedule; the report stronger for coverage,Scheduled 15-17; the reporter attended 16-17,Which days Apple's booth was staffed,Medium-High
Apple,stage1,U-A2-4,E / P,The Apple-1 sold for $666.66,ubiquitous retelling (no periodical located),1976 (claimed),'a price under $700 at the retail level',"Wozniak, BYTE May 1977 (A2S-06)",1977-05,"A distinctive price retailed because it is distinctive; the number may sit in titles this cache cannot text-search (Kilobaud, Creative Computing)",no in-window support for either number as a figure; the band is first-party,Under $700 per the designer; the specific figure unestablished here,"UNANSWERED, not false: Kilobaud 1976 has no text layer (DG-4)",High on absence in these files / UNKNOWN on the true price
Apple,stage1,U-A2-5,G,Terrell's BYTE Shop was 'the world's first computer store franchise',BYTE editorial (A2S-02),1976-07,'Last year we opened the first computer store on the East Coast',Computer Mart of New York advertisement (A2S-06),1977-05,"Three different scopes (franchise / East Coast / region) claimed by three interested parties, one of them the magazine's own advertiser","each self-serving, none corroborated by the others",No primacy claim in the corpus is established; the field was narrating its own origin in 1976-77,"Which store first sold an Apple product (earliest advertisement: New York, September 1976)",High that the claims exist / Low on their truth
Apple,stage1,U-A2-6,P,California sales tax on Apple's 1977 prices is 6.5%,"Apple price list (A2S-07), arithmetic 84.37/1298",1977-06,California sales tax is 6%,Kentucky Fried Computers notice (A2S-10) and a 1980 BYTE advertiser (A2S-13),1976-06-09 / 1980-12,District add-ons differed by county and changed over time; advertisers were not uniform,"Apple's table is internally consistent across nine rows, hard to produce by accident",Apple's 1977 prices carry a 6.5% add-on; the 6% lines belong to other jurisdictions or years,The actual 1977 district schedule is outside periodicals,High on arithmetic / Low on explanation
Apple,stage1,U-A2-7,K / P,The printed revenue record begins FY1978 at $7.8M,BYTE February 1981 (A2S-09),1981-02,Stage 1 is April 1976 - January 1977,this dossier's stage boundary (AP-04),1977-01-03,"The printed series is investor-relations matter, not a history; its earliest year is two years after the events",one column,Apple's Stage-1 financial interior is UNKNOWN from periodicals; FY1978 must not be presented as year one,Only the paper prospectus can close it (DG-3),High
Apple,stage1,U-A2-8,P,"FY1978 profit printed to the dollar ($793,497)",BYTE February 1981 (A2S-09),1981-02,"FY1979 and FY1980 printed to one or two significant figures ($5M, $117M)",BYTE February 1981 (A2S-09),1981-02,"Mixed precision inside a single column: some rows from a document, some from memory or space constraints",the exact row is stronger,"Report the series as reported, not audited; the 10.0/10.4/10.2% margin similarity is not evidence of an operating constant",Whether audited FY1979-80 figures exist in the prospectus,High on the observation / Medium on inference
Apple,stage1,U-A2-9,P,Offering was 8% of 52.4M shares,BYTE February 1981 (A2S-09),1981-02,"Offering was 4.6M shares, i.e. 8.78%",BYTE February 1981 (A2S-09),1981-02,"0.08 x 52.4M = 4.192M, not 4.6M: one figure is rounded, stale, or a different class or over-allotment","single column, no filing available (DG-3)",Carry both gross sizes ($101.2M and $92.2M); prefer neither,The whole reconciliation,High that the print is internally inconsistent
Apple,stage1,U-A2-10,B / M,"The 1976-04-01 agreement has three signatories, 45/45/10",Christie's-catalogued document (AP-20),1976-04-01,"No 1976-1981 periodical names Ronald Wayne; the 1981 recap names Jobs, Wozniak and Markkula",negative census (A2S-13),1975-03 / 1981-02,The press covered the company through its product and visible principals; a partner who left within weeks never entered the trade's reference set,A is one primary artifact outside this corpus; B is abundant in-window print,The third partner is a documentary fact with no periodical trace; the printed origin story was two-founder from the start,"Whether any non-trade 1976 print (a California newspaper, Kilobaud) mentions Wayne",High within this corpus / Medium absolutely
