company,stage,date_or_range,event,actors,location,source_id,evidence_class,confidence,conflict_ref,notes
Walmart,stage1,1972-08-25,"Wal-Mart Stores, Inc. common stock listed for trading on the New York Stock Exchange",Wal-Mart Stores Inc.; NYSE,"New York, NY",S0103,FACT,High,none,"verbatim: 'August 25, 1972, the Company's stock was listed and began trading on the New York Stock Exchange'; OTC since October 1970. NEW contemporaneous fact the five downloads produced"
Walmart,stage1,1974-03-21,"Arthur Young & Company signs the unqualified report on the consolidated statements for the year ended January 31, 1974",Arthur Young & Company (Tulsa OK),"Tulsa, OK",S0103,FACT,High,none,first of five newly-witnessed opinions
Walmart,stage1,1975-01,"A new 150,000 square foot Distribution Center begins operation in Bentonville, consolidating case-pack merchandise previously shipped direct to stores",Wal-Mart Stores Inc.,"Bentonville, AR",S0104,FACT,High,none,8 rail-car and 37 truck doors against the original DC's 6 and 28; ~60% of merchandise shipped through warehouse/DC in FY1975 vs 55% the prior year
Walmart,stage1,1975-03-28,"Arthur Young qualifies its FY1975 opinion by exception for the change in the method of determining inventory cost (FIFO to LIFO), an change the auditor states it approves",Arthur Young & Company,"Tulsa, OK",S0104,FACT,High,U-A3/1,"the comparability break in the margin series is auditor-flagged, not footnoted: FY1975 earnings fall $2,347,000 ($.36 pre-split, $.18 post-split)"
Walmart,stage1,1976-11,"A second 150,000 square foot Bentonville distribution centre is completed, making 300,000 sq ft of 'pure distribution center' on a two-and-one-half-day cycle",Wal-Mart Stores Inc.,"Bentonville, AR",S0106,FACT,High,none,"total Bentonville distribution ≈550,000 sq ft through which ~80% of merchandise flows, up from 60% two years earlier"
Walmart,stage1,1977-04-01,Arthur Young & Company signs the unqualified FY1977 report; wording has moved from 'consistent with that of the preceding year' to 'applied on a consistent basis during the period',Arthur Young & Company,"Tulsa, OK",S0106,FACT,High,none,the opinion now covers two years
Walmart,stage1,1977,"Construction begins on a 390,000 square foot distribution center at Searcy, Arkansas, designed to service one-half of the existing stores",Wal-Mart Stores Inc.,"Searcy, AR",S0107,FACT,High,none,automated conveyor at ~200 ft/min; combines DC I warehousing with DC II distribution; completion then tentative for June 1978
Walmart,stage1,1977-10-01,"A group of sixteen stores is acquired in late summer, four stores closed during FY1978 including two of the acquired units",Wal-Mart Stores Inc.,multiple,S0107,FACT,Medium,none,the only store-group acquisition in the window stated in its own year's report; identity of the seller is not given in the FY1978 report
Walmart,stage1,1978-04-14,Arthur Young & Company signs the unqualified FY1978 report,Arthur Young & Company,"Tulsa, OK",S0107,FACT,High,none,the FY1978 report is the cleanest text layer of the five new documents and A3's reference copy for FY1970-FY1978
Walmart,stage1,1979,"The remaining Sav-Co Home Improvement Center is closed, ending the nine-year second-format experiment begun in FY1975",Wal-Mart Stores Inc.,"Bentonville, AR",S0108,FACT,High,none,"FY1975 opened two Sav-Co centres totalling 54,000 sq ft and already conceded they 'will not be expanded until [they are] operating at our expected profitability level'"
Walmart,stage1,1979-04-06,"Arthur Young signs the FY1979 report carrying the clause that prior-year statements were restated retroactively for the change in the method of accounting for leases (SFAS 13), a change the auditor concurs in",Arthur Young & Company,"Tulsa, OK",S0108,FACT,High,"U-A3/4, U-A3/5, U-A3/6",the authorising document for the restatement of FY1975-FY1978 — a second restating document one year earlier than A2's only one
Walmart,stage1,1945,"Sam M. Walton opens his first Ben Franklin franchise variety store in Newport, Arkansas — as narrated by the registrant in 1974, 1975, 1977, 1978 and 1979",Sam M. Walton; Ben Franklin,"Newport, AR",S0104,FOUNDER CLAIM,Low,see COR-A3-10,NO 1945 document exists in this corpus; five dated repeatings inside ONE lineage do not make a second source (§3 filing-lineage rule)
Walmart,stage1,1962-11,"The first Wal-Mart Discount City opens in Rogers, Arkansas, a town of 'approximately 4700' (FY1975) / 'approximately 5,000 people' (FY1978)",Sam M. Walton; J. L. 'Bud' Walton,"Rogers, AR",S0104,FOUNDER CLAIM,Low,U-A3/8,"the month is stated in the FY1975 and FY1978 reports; no 1962 price, no opening-day takings, and no witness outside the registrant"
Walmart,stage1,1958-06,The variety/soft-goods trade's own journal reports that the spread of discount houses is 'slowing down' (28% more / 6% fewer / 66% no change among responding member stores),NRDGA member stores (survey),United States,S0131,FACT,Medium,none,"SECTOR context four years before the first Wal-Mart Discount City. Evidence that a 1962 entrant was entering a sector its own trade journal was already describing as saturating — market-as-knowable, NOT a company claim."
Walmart,stage1,1961-11,"NRMA (the renamed NRDGA, Walton's own franchise association) holds its first Discount Seminar, 'The Discount Business — Is It for You?', ~800 attendees, half conventional department stores",National Retail Merchants Association; J. Gordon Dakins; Milton Woll; Richard Tumpowsky (American Dixie Shops); Perry Meyers; Stephen Masters; Alfred C. Thompson; Manfred Brecker (S. E. Nichols Co.),United States,S0133,FACT,High,none,"Reported in the December 1961 issue, three months before the first Wal-Mart opened. The trade formalised the discount transition before and independently of the company."
